model,country,domain,forecast_horizon,runtime
Chronos-2-FT-LoRA-Full,Côte d'Ivoire,Family Planning,3,463.2333333
Chronos-2-FT-LoRA-Full,Côte d'Ivoire,Family Planning,6,375.5333333
Chronos-2-FT-LoRA-Full,Lao,Family Planning,1,779.9333333
Chronos-2-FT-LoRA-Full,Lao,Family Planning,3,464.9333333
Chronos-2-FT-LoRA-Full,Lao,Family Planning,6,376.2333333
Chronos-2-FT-LoRA-Full,Pakistan,Family Planning,1,945.1333333
Chronos-2-FT-LoRA-Full,Pakistan,Family Planning,3,509.2333333
Chronos-2-FT-LoRA-Full,Pakistan,Family Planning,6,382.2333333
Moirai-1.0-R-base,Côte d'Ivoire,Family Planning,1,43696.9
Moirai-1.0-R-base,Côte d'Ivoire,Family Planning,3,10843.3
Moirai-1.0-R-base,Côte d'Ivoire,Family Planning,6,5398.4
Moirai-1.0-R-base,Lao,Family Planning,1,60594.5
Moirai-1.0-R-base,Lao,Family Planning,3,11321.3
Moirai-1.0-R-base,Lao,Family Planning,6,5653.7
Moirai-1.0-R-base,Pakistan,Family Planning,1,62950.6
Moirai-1.0-R-base,Pakistan,Family Planning,3,24771.5
Moirai-1.0-R-base,Pakistan,Family Planning,6,5240.9
TimesFM-2.5-200m,Côte d'Ivoire,Family Planning,1,31065
TimesFM-2.5-200m,Côte d'Ivoire,Family Planning,3,13127
TimesFM-2.5-200m,Côte d'Ivoire,Family Planning,6,3015
TimesFM-2.5-200m,Lao,Family Planning,1,30018.5
TimesFM-2.5-200m,Lao,Family Planning,3,6413.5
TimesFM-2.5-200m,Lao,Family Planning,6,3143.5
TimesFM-2.5-200m,Pakistan,Family Planning,1,19123.2
TimesFM-2.5-200m,Pakistan,Family Planning,3,13266.5
TimesFM-2.5-200m,Pakistan,Family Planning,6,6910.3
Chronos-t5-base,Côte d'Ivoire,Family Planning,1,157093.5
Chronos-t5-base,Côte d'Ivoire,Family Planning,3,449340
Chronos-t5-base,Côte d'Ivoire,Family Planning,6,148760
Chronos-t5-base,Lao,Family Planning,1,
Chronos-t5-base,Lao,Family Planning,3,
Chronos-t5-base,Lao,Family Planning,6,
Chronos-t5-base,Pakistan,Family Planning,1,
Chronos-t5-base,Pakistan,Family Planning,3,
Chronos-t5-base,Pakistan,Family Planning,6,
Naive,Lao,Pharmaceutical,1,174.6
Naive,Lao,Pharmaceutical,3,61.6
Naive,Lao,Pharmaceutical,6,37.6
Mean,Lao,Pharmaceutical,1,173.3
Mean,Lao,Pharmaceutical,3,66
Mean,Lao,Pharmaceutical,6,42.4
AutoETS,Lao,Pharmaceutical,1,1106.7
AutoETS,Lao,Pharmaceutical,3,378.3
AutoETS,Lao,Pharmaceutical,6,177.7
Chronos-2,Lao,Pharmaceutical,1,3539.3
Chronos-2,Lao,Pharmaceutical,3,1042.4
Chronos-2,Lao,Pharmaceutical,6,156.8
Chronos-2-small,Lao,Pharmaceutical,1,695
Chronos-2-small,Lao,Pharmaceutical,3,76.2
